sample,species,count,gender
12,NONE,1,juvenile
22,NONE,1,juvenile
24,NONE,1,juvenile
33,NONE,1,juvenile
41,NONE,1,juvenile
51,NONE,1,juvenile
53,NONE,1,juvenile
57,NONE,1,juvenile
59,NONE,1,juvenile
77,NONE,1,juvenile
91,NONE,1,juvenile
95,NONE,1,juvenile
68,trad,7,female
55,trad,10,female
36,propol,7,female
56,trad,5,female
79,trad,5,female
43,hhun,5,female
52,propol,5,female
63,propol,5,female
94,trad,5,female
61,propol,4,female
86,propol,4,female
37,trad,4,female
85,trad,4,male
73,trad,4,juvenile
43,pcons,4,juvenile
79,hhun,4,female
43,trip,4,female
79,trip,4,female
27,trad,4,female
69,trad,4,female
70,trad,4,female
88,trad,4,female
32,propol,3,female
49,propol,3,female
55,propol,3,female
85,propol,3,female
92,propol,3,female
49,trad,3,female
37,trad,3,male
56,trad,3,male
61,trad,3,male
74,trad,3,male
32,trad,3,juvenile
74,trad,3,juvenile
19,hhun,3,female
43,hhun,3,male
49,trip,3,female
44,lih,3,female
39,propol,3,female
82,propol,3,female
52,propol,3,male
64,trad,3,female
81,trad,3,female
27,trad,3,male
69,trad,3,male
81,lmin,3,male
10,lmin,3,juvenile
48,propol,3,female
72,propol,3,female
89,propol,3,juvenile
78,trad,3,female
84,trad,3,male
90,lmin,3,male
71,hhun,3,male
85,propol,2,juvenile
31,trad,2,female
38,trad,2,female
67,trad,2,female
74,trad,2,female
80,trad,2,female
85,trad,2,female
31,trad,2,male
55,trad,2,juvenile
68,trad,2,juvenile
13,lmin,2,female
49,lmin,2,male
43,pcons,2,female
80,pcons,2,female
43,pcons,2,male
80,pcons,2,male
25,lih,2,female
25,lih,2,male
28,propol,2,female
34,propol,2,female
46,propol,2,female
58,propol,2,female
69,propol,2,female
87,propol,2,female
81,trad,2,male
87,trad,2,male
34,lmin,2,female
81,lmin,2,female
94,lmin,2,female
39,lmin,2,juvenile
69,orpl,2,male
45,trip,2,female
66,propol,2,female
30,propol,2,male
35,propol,2,male
29,trad,2,female
71,trad,2,female
72,trad,2,female
84,trad,2,female
60,trad,2,male
78,trad,2,male
83,trad,2,male
36,trad,2,juvenile
54,trad,2,juvenile
18,lmin,2,male
30,lmin,2,male
11,orpl,2,male
11,tratz,2,female
84,tratz,2,male
2,propol,1,female
37,propol,1,female
38,propol,1,female
50,propol,1,female
62,propol,1,female
67,propol,1,female
73,propol,1,female
74,propol,1,female
37,propol,1,male
49,propol,1,male
86,propol,1,male
2,propol,1,juvenile
8,propol,1,juvenile
43,propol,1,juvenile
49,propol,1,juvenile
74,propol,1,juvenile
26,trad,1,female
32,trad,1,female
43,trad,1,female
50,trad,1,female
61,trad,1,female
38,trad,1,male
55,trad,1,male
67,trad,1,male
68,trad,1,male
80,trad,1,male
86,trad,1,male
31,trad,1,juvenile
49,trad,1,juvenile
61,trad,1,juvenile
62,trad,1,juvenile
1,lmin,1,female
7,lmin,1,female
8,lmin,1,female
50,lmin,1,female
74,lmin,1,female
85,lmin,1,female
86,lmin,1,female
7,lmin,1,male
13,lmin,1,male
50,lmin,1,male
55,lmin,1,male
61,lmin,1,male
86,lmin,1,male
2,lmin,1,juvenile
43,lmin,1,juvenile
56,lmin,1,juvenile
20,pcons,1,female
32,pcons,1,female
85,pcons,1,female
79,pcons,1,male
19,pcons,1,juvenile
25,pcons,1,juvenile
79,pcons,1,juvenile
31,hhun,1,female
37,hhun,1,female
61,hhun,1,female
67,hhun,1,female
74,hhun,1,female
19,hhun,1,male
31,hhun,1,male
49,hhun,1,male
74,hhun,1,male
80,hhun,1,male
7,orpl,1,female
14,orpl,1,female
61,orpl,1,female
14,orpl,1,male
73,orpl,1,juvenile
1,tratz,1,female
31,tratz,1,female
7,tratz,1,male
44,tratz,1,male
44,tratz,1,juvenile
8,trip,1,female
19,trip,1,female
80,trip,1,female
31,trip,1,male
37,trip,1,male
43,trip,1,male
1,lih,1,female
26,lih,1,female
37,lih,1,female
38,lih,1,female
43,lih,1,female
85,lih,1,male
14,lih,1,juvenile
37,lih,1,juvenile
16,propol,1,female
27,propol,1,female
40,propol,1,female
70,propol,1,female
75,propol,1,female
76,propol,1,female
88,propol,1,female
28,propol,1,male
39,propol,1,male
58,propol,1,male
69,propol,1,male
70,propol,1,male
82,propol,1,male
3,propol,1,juvenile
46,propol,1,juvenile
63,propol,1,juvenile
75,propol,1,juvenile
76,propol,1,juvenile
58,trad,1,female
82,trad,1,female
87,trad,1,female
93,trad,1,female
28,trad,1,male
58,trad,1,male
70,trad,1,male
40,trad,1,juvenile
69,trad,1,juvenile
