"short","full.name","genus","species","name","author","size"
"meso","Mesoniscus graniger (Frivaldszky, 1875)","Mesoniscus","graniger","Mesoniscus graniger","(Frivaldszky, 1875)","small"
"trip","Trichoniscus provisorius Racovitza, 1908","Trichoniscus","provisorius","Trichoniscus provisorius","Racovitza, 1908","small"
"lih","Ligidium hypnorum (Cuvier, 1792)","Ligidium","hypnorum","Ligidium hypnorum","(Cuvier, 1792)","medium"
"hhun","Haplophthalmus hungaricus Kesselyak, 1930","Haplophthalmus","hungaricus","Haplophthalmus hungaricus","Kesselyak, 1930","small"
"lmin","Lepidoniscus minutus (C. Koch, 1838)","Lepidoniscus","minutus","Lepidoniscus minutus","(C. Koch, 1838)","medium"
"propol","Protracheoniscus politus (C. Koch, 1841)","Protracheoniscus","politus","Protracheoniscus politus","(C. Koch, 1841)","medium"
"orpl","Orthometopon planum (Budde-Lund, 1885)","Orthometopon","planum","Orthometopon planum","(Budde-Lund, 1885)","medium"
"pcons","Porcellium conspersum (C. Koch, 1841)","Porcellium","conspersum","Porcellium conspersum","(C. Koch, 1841)","medium"
"tratz","Trachelipus ratzeburgii (Brandt, 1833)","Trachelipus","ratzeburgii","Trachelipus ratzeburgii","(Brandt, 1833)","big"
"trad","Trachelipus difficilis (Radu, 1950)","Trachelipus","difficilis","Trachelipus difficilis","(Radu, 1950)","big"
