cluster,Tobor.szama,Telepules,EOV.X,EOV.Y,Legmelyebb.pont,Perem.magassaga,Tobor.melysege,Tobor.alapterulete.ha,Legszelesebb.resz,Legkeskenyebb.resz,Elnyultsag.iranya,perem,Dperem,qc,mf,mt,tf,pa
1,1,Bodvaszilas,773216,358520,465,480,15,0.6381,115,70,NY-DK,qc,mf,0,0,1,0,0
1,2,Bodvaszilas,773116,358579,460,490,30,1.7815,192,120,NY-DK,mf,mf,1,1,1,0,0
1,3,Bodvaszilas,772964,358643,480,495,15,0.9051,124,90,DNY-K,mf,mf,0,1,1,0,0
1,4,Bodvaszilas,772891,358743,480,500,20,1.4491,145,125,-D,qc,mf,0,1,1,0,0
2,5,Bodvaszilas,773505,359347,500,520,20,1.1717,133,108,NY-DK,qc,qc,1,0,1,0,0
2,6,Bodvaszilas,773445,359423,500,525,25,1.2632,138,115,NY-DK,qc,qc,1,0,1,0,0
2,7,Bodvaszilas,773325,359320,500,520,20,1.6853,158,140,NY-DK,qc,mf,0,1,1,0,0
2,8,Bodvaszilas,773228,359345,505,525,20,0.8532,120,92,-D,qc,mf,0,1,0,1,1
3,9,Komjati,774101,358952,505,525,20,0.5776,100,71,-D,qc,qc,0,0,1,0,0
3,10,Bodvaszilas,773983,358927,500,520,20,2.2271,220,140,NY-DK,qc,qc,1,1,0,1,0
3,11,Komjati,774079,359070,515,530,15,0.5341,98,71,-D,qc,qc,0,1,1,0,0
3,12,Komjati,774202,358950,500,525,25,2.5298,196,154,-D,qc,qc,1,0,1,0,0
4,13,Komjati,774455,359408,490,500,10,0.7248,100,90,-D,qc,qc,1,0,0,0,0
4,14,Komjati,774595,359407,485,500,15,1.0146,130,100,NY-DK,qc,qc,1,0,1,0,1
4,15,Komjati,774583,359330,485,500,15,0.9348,121,85,NY-DK,qc,qc,1,0,1,0,0
4,16,Komjati,774719,359332,480,500,20,1.7657,176,114,-D,qc,qc,1,0,1,0,0
